burnout_level,profile_type,high_burnout,age_norm,experience_years_norm,daily_work_hours_norm,sleep_hours_norm,caffeine_intake_norm,bugs_per_day_norm,commits_per_day_norm,meetings_per_day_norm,screen_time_norm,exercise_hours_norm,stress_level_norm,sleep_quality_norm,workload_index_norm,age_scaled_norm,experience_years_scaled_norm,daily_work_hours_scaled_norm,sleep_hours_scaled_norm,caffeine_intake_scaled_norm,bugs_per_day_scaled_norm,commits_per_day_scaled_norm,meetings_per_day_scaled_norm,screen_time_scaled_norm,exercise_hours_scaled_norm,stress_level_scaled_norm
Medium,Riesgo,0,0.20833,0.36842,0.966,0.248,1.0,0.15789,0.93103,0.22222,0.73913,0.995,0.5406,0.10839,0.81243,0.20833,0.36842,0.966,0.248,1.0,0.15789,0.93103,0.22222,0.73913,0.995,0.5406
,Riesgo,0,0.95833,0.0,0.157,0.038,1.0,0.47368,0.37931,1.0,0.11075,0.27,0.7173,0.27373,0.45105,0.95833,0.0,0.157,0.038,1.0,0.47368,0.37931,1.0,0.11075,0.27,0.7173
Low,Riesgo,0,0.54167,0.42105,0.186,0.318,0.57143,0.21053,0.7931,0.77778,0.16489,0.48,0.2673,0.38373,0.66864,0.54167,0.42105,0.186,0.318,0.57143,0.21053,0.7931,0.77778,0.16489,0.48,0.2673
Medium,Riesgo,0,0.45833,0.57895,0.927,0.792,0.0,0.47368,0.06897,0.88889,0.93601,0.82,0.573,0.20521,0.40241,0.45833,0.57895,0.927,0.792,0.0,0.47368,0.06897,0.88889,0.93601,0.82,0.573
High,Riesgo,1,0.125,0.36842,0.706,0.36,0.71429,0.26316,0.34483,0.44444,0.56522,0.12,0.7349,0.19248,0.44026,0.125,0.36842,0.706,0.36,0.71429,0.26316,0.34483,0.44444,0.56522,0.12,0.7349
Low,Riesgo,0,0.91667,0.84211,0.152,0.324,1.0,0.15789,0.75862,0.22222,0.0968,0.315,0.2446,0.44686,0.53457,0.91667,0.84211,0.152,0.324,1.0,0.15789,0.75862,0.22222,0.0968,0.315,0.2446
High,Riesgo,1,0.20833,0.47368,0.393,0.942,0.71429,0.89474,0.31034,0.66667,0.55619,0.16,0.7963,0.39139,0.39522,0.20833,0.47368,0.393,0.942,0.71429,0.89474,0.31034,0.66667,0.55619,0.16,0.7963
Medium,Riesgo,0,0.375,0.31579,0.056,0.042,0.0,0.84211,0.72414,0.22222,0.2018,0.065,0.3919,0.21992,0.49313,0.375,0.31579,0.056,0.042,0.0,0.84211,0.72414,0.22222,0.2018,0.065,0.3919
Low,Riesgo,0,0.70833,0.94737,0.433,0.768,0.0,0.31579,0.48276,0.55556,0.4397,0.96,0.2313,0.39415,0.48826,0.70833,0.94737,0.433,0.768,0.0,0.31579,0.48276,0.55556,0.4397,0.96,0.2313
Medium,Riesgo,0,0.58333,0.26316,0.778,0.484,0.57143,0.42105,0.75862,0.33333,0.59885,0.86,0.5001,0.22146,0.68809,0.58333,0.26316,0.778,0.484,0.57143,0.42105,0.75862,0.33333,0.59885,0.86,0.5001
Low,Riesgo,0,0.29167,0.52632,0.554,0.944,0.57143,0.10526,0.34483,0.66667,0.66366,0.88,0.291,0.34066,0.45041,0.29167,0.52632,0.554,0.944,0.57143,0.10526,0.34483,0.66667,0.66366,0.88,0.291
,Riesgo,0,0.33333,0.89474,0.647,0.394,0.0,0.42105,0.75862,0.55556,0.49549,0.87,0.5696,0.23008,0.70269,0.33333,0.89474,0.647,0.394,0.0,0.42105,0.75862,0.55556,0.49549,0.87,0.5696
Medium,Riesgo,0,0.16667,0.73684,0.327,0.708,0.71429,0.15789,0.86207,0.66667,0.39787,0.155,0.3951,0.39628,0.7196,0.16667,0.73684,0.327,0.708,0.71429,0.15789,0.86207,0.66667,0.39787,0.155,0.3951
Medium,Riesgo,0,0.375,0.05263,0.161,0.07,0.71429,0.94737,0.0,0.33333,0.28056,0.785,0.5473,0.19371,0.09241,0.375,0.05263,0.161,0.07,0.71429,0.94737,0.0,0.33333,0.28056,0.785,0.5473
Low,Riesgo,0,0.79167,0.68421,0.013,0.928,0.0,0.42105,0.65517,0.55556,0.07137,0.73,0.1669,0.83112,0.50518,0.79167,0.68421,0.013,0.928,0.0,0.42105,0.65517,0.55556,0.07137,0.73,0.1669
High,Riesgo,1,0.20833,0.47368,0.821,0.344,0.71429,1.0,0.10345,1.0,0.90156,0.925,1.0,0.09946,0.42229,0.20833,0.47368,0.821,0.344,0.71429,1.0,0.10345,1.0,0.90156,0.925,1.0
Medium,Riesgo,0,0.625,0.78947,0.637,0.524,0.57143,0.26316,0.68966,0.66667,0.46842,0.22,0.5637,0.28869,0.67942,0.625,0.78947,0.637,0.524,0.57143,0.26316,0.68966,0.66667,0.46842,0.22,0.5637
High,Riesgo,1,0.95833,0.31579,0.229,0.138,0.0,0.52632,1.0,1.0,0.38556,0.415,0.7078,0.1777,0.8469,0.95833,0.31579,0.229,0.138,0.0,0.52632,1.0,1.0,0.38556,0.415,0.7078
Medium,Riesgo,0,0.08333,0.36842,0.418,0.946,0.57143,0.73684,0.86207,0.77778,0.45447,0.295,0.4461,0.45147,0.75999,0.08333,0.36842,0.418,0.946,0.57143,0.73684,0.86207,0.77778,0.45447,0.295,0.4461
High,Riesgo,1,0.375,0.47368,0.801,0.672,0.71429,0.26316,0.68966,1.0,0.78671,0.26,0.7907,0.21598,0.77754,0.375,0.47368,0.801,0.672,0.71429,0.26316,0.68966,1.0,0.78671,0.26,0.7907
High,Riesgo,1,0.41667,0.73684,0.539,0.054,0.71429,1.0,0.24138,0.88889,0.69565,0.65,0.9414,0.06083,0.42609,0.41667,0.73684,0.539,0.054,0.71429,1.0,0.24138,0.88889,0.69565,0.65,0.9414
Medium,Riesgo,0,0.41667,0.36842,0.3,0.156,0.57143,0.47368,0.65517,0.22222,0.36669,0.165,0.4926,0.19255,0.50243,0.41667,0.36842,0.3,0.156,0.57143,0.47368,0.65517,0.22222,0.36669,0.165,0.4926
Medium,Riesgo,0,0.66667,0.63158,0.267,0.4,0.14286,0.89474,0.41379,0.44444,0.41017,0.465,0.5374,0.26965,0.38972,0.66667,0.63158,0.267,0.4,0.14286,0.89474,0.41379,0.44444,0.41017,0.465,0.5374
Medium,Riesgo,0,0.125,0.57895,0.218,0.216,0.14286,0.78947,0.55172,1.0,0.15833,0.645,0.6576,0.33575,0.56968,0.125,0.57895,0.218,0.216,0.14286,0.78947,0.55172,1.0,0.15833,0.645,0.6576
Medium,Riesgo,0,0.125,0.36842,0.824,0.304,0.85714,0.15789,0.48276,0.22222,0.87121,0.13,0.4393,0.09518,0.50751,0.125,0.36842,0.824,0.304,0.85714,0.15789,0.48276,0.22222,0.87121,0.13,0.4393
High,Riesgo,1,0.66667,0.73684,0.582,0.998,0.57143,0.47368,0.68966,0.44444,0.65628,0.255,0.7085,0.36057,0.6255,0.66667,0.73684,0.582,0.998,0.57143,0.47368,0.68966,0.44444,0.65628,0.255,0.7085
Medium,Riesgo,0,0.33333,0.57895,0.709,0.658,0.0,0.63158,0.0,0.11111,0.82855,0.965,0.5406,0.19984,0.166,0.33333,0.57895,0.709,0.658,0.0,0.63158,0.0,0.11111,0.82855,0.965,0.5406
Low,Riesgo,0,0.75,0.52632,0.499,0.922,0.14286,0.21053,0.93103,0.22222,0.94176,0.795,0.3057,0.23621,0.71368,0.75,0.52632,0.499,0.922,0.14286,0.21053,0.93103,0.22222,0.94176,0.795,0.3057
High,Riesgo,1,0.16667,0.94737,0.987,0.436,0.71429,1.0,0.06897,0.66667,0.80968,0.675,1.0,0.14438,0.37281,0.16667,0.94737,0.987,0.436,0.71429,1.0,0.06897,0.66667,0.80968,0.675,1.0
Medium,Riesgo,0,0.875,0.68421,0.249,0.71,1.0,0.94737,0.7931,0.77778,0.2863,0.855,0.6117,0.47482,0.68196,0.875,0.68421,0.249,0.71,1.0,0.94737,0.7931,0.77778,0.2863,0.855,0.6117
Medium,Riesgo,0,0.95833,0.89474,0.181,0.492,0.28571,0.89474,0.86207,0.44444,0.37736,0.015,0.4777,0.32269,0.64644,0.95833,0.89474,0.181,0.492,0.28571,0.89474,0.86207,0.44444,0.37736,0.015,0.4777
Medium,Riesgo,0,0.20833,0.63158,0.462,0.328,0.0,1.0,0.68966,0.22222,0.51846,0.005,0.5879,0.19808,0.55783,0.20833,0.63158,0.462,0.328,0.0,1.0,0.68966,0.22222,0.51846,0.005,0.5879
Low,Riesgo,0,0.08333,0.15789,0.035,0.52,0.57143,0.84211,0.75862,0.33333,0.10993,0.155,0.3259,0.54402,0.53098,0.08333,0.15789,0.035,0.52,0.57143,0.84211,0.75862,0.33333,0.10993,0.155,0.3259
High,Riesgo,1,0.875,0.84211,0.499,0.428,0.71429,0.78947,1.0,0.22222,0.61526,0.495,0.7681,0.19777,0.75597,0.875,0.84211,0.499,0.428,0.71429,0.78947,1.0,0.22222,0.61526,0.495,0.7681
Low,Riesgo,0,0.0,0.94737,0.884,0.98,0.71429,0.0,0.55172,0.22222,0.7703,0.57,0.3266,0.308,0.56249,0.0,0.94737,0.884,0.98,0.71429,0.0,0.55172,0.22222,0.7703,0.57,0.3266
Medium,Riesgo,0,0.79167,0.42105,0.686,0.496,0.28571,0.0,0.72414,0.88889,0.71042,0.115,0.4976,0.18854,0.75322,0.79167,0.42105,0.686,0.496,0.28571,0.0,0.72414,0.88889,0.71042,0.115,0.4976
Medium,Riesgo,0,0.875,0.31579,0.268,0.812,0.57143,1.0,0.93103,0.33333,0.40443,0.07,0.4862,0.43275,0.68598,0.875,0.31579,0.268,0.812,0.57143,1.0,0.93103,0.33333,0.40443,0.07,0.4862
Medium,Riesgo,0,0.625,0.0,0.123,0.666,0.85714,0.68421,1.0,0.55556,0.17719,0.83,0.448,0.55114,0.7399,0.625,0.0,0.123,0.666,0.85714,0.68421,1.0,0.55556,0.17719,0.83,0.448
Low,Riesgo,0,0.91667,0.31579,0.382,0.48,0.0,0.05263,0.7931,0.22222,0.26087,0.465,0.0419,0.39037,0.60436,0.91667,0.31579,0.382,0.48,0.0,0.05263,0.7931,0.22222,0.26087,0.465,0.0419
High,Riesgo,1,0.41667,0.31579,0.833,0.474,0.71429,0.73684,0.72414,0.77778,0.82034,0.99,0.9119,0.1521,0.76316,0.41667,0.31579,0.833,0.474,0.71429,0.73684,0.72414,0.77778,0.82034,0.99,0.9119
Medium,Riesgo,0,0.5,1.0,0.348,0.342,0.85714,0.10526,0.10345,0.33333,0.51764,0.23,0.4228,0.20326,0.19539,0.5,1.0,0.348,0.342,0.85714,0.10526,0.10345,0.33333,0.51764,0.23,0.4228
Medium,Riesgo,0,0.375,0.31579,0.034,0.106,0.42857,0.63158,0.89655,0.77778,0.50533,0.645,0.5321,0.12467,0.69994,0.375,0.31579,0.034,0.106,0.42857,0.63158,0.89655,0.77778,0.50533,0.645,0.5321
Low,Riesgo,0,0.08333,0.36842,0.274,0.762,0.71429,0.94737,0.24138,0.11111,0.45857,0.805,0.336,0.38106,0.22203,0.08333,0.36842,0.274,0.762,0.71429,0.94737,0.24138,0.11111,0.45857,0.805,0.336
Medium,Riesgo,0,0.33333,0.78947,0.99,0.918,0.42857,0.0,0.48276,0.88889,0.85808,0.875,0.5878,0.26052,0.66949,0.33333,0.78947,0.99,0.918,0.42857,0.0,0.48276,0.88889,0.85808,0.875,0.5878
High,Riesgo,1,0.45833,0.10526,0.677,0.218,1.0,0.63158,0.24138,0.11111,0.77605,0.305,0.8447,0.0916,0.30725,0.45833,0.10526,0.677,0.218,1.0,0.63158,0.24138,0.11111,0.77605,0.305,0.8447
Medium,Riesgo,0,0.91667,0.63158,0.901,0.926,0.42857,0.73684,1.0,0.22222,0.92699,0.195,0.565,0.24149,0.84098,0.91667,0.63158,0.901,0.926,0.42857,0.73684,1.0,0.22222,0.92699,0.195,0.565
High,Riesgo,1,0.54167,0.47368,0.775,0.232,0.0,0.78947,0.44828,0.22222,0.88105,0.225,0.7367,0.07443,0.476,0.54167,0.47368,0.775,0.232,0.0,0.78947,0.44828,0.22222,0.88105,0.225,0.7367
Medium,Riesgo,0,0.0,0.89474,0.54,0.53,1.0,0.52632,0.17241,0.44444,0.63167,0.665,0.4861,0.22452,0.29943,0.0,0.89474,0.54,0.53,1.0,0.52632,0.17241,0.44444,0.63167,0.665,0.4861
Low,Riesgo,0,0.70833,0.31579,0.149,0.344,0.0,0.10526,0.7931,0.22222,0.15751,0.52,0.0664,0.40325,0.55509,0.70833,0.31579,0.149,0.344,0.0,0.10526,0.7931,0.22222,0.15751,0.52,0.0664
Medium,Riesgo,0,0.66667,0.21053,0.349,0.114,0.28571,0.36842,0.93103,0.77778,0.51107,0.6,0.5184,0.12577,0.78769,0.66667,0.21053,0.349,0.114,0.28571,0.36842,0.93103,0.77778,0.51107,0.6,0.5184
High,Riesgo,1,0.33333,0.31579,0.584,0.052,0.71429,0.26316,0.72414,1.0,0.62838,0.02,0.7263,0.07462,0.7528,0.33333,0.31579,0.584,0.052,0.71429,0.26316,0.72414,1.0,0.62838,0.02,0.7263
Medium,Riesgo,0,0.33333,0.84211,0.871,0.366,0.0,0.21053,0.48276,0.66667,0.69729,0.39,0.5482,0.1537,0.60203,0.33333,0.84211,0.871,0.366,0.0,0.21053,0.48276,0.66667,0.69729,0.39,0.5482
Medium,Riesgo,0,0.91667,0.15789,0.269,0.048,0.0,0.73684,0.65517,0.0,0.16489,0.31,0.4395,0.24406,0.45358,0.91667,0.15789,0.269,0.048,0.0,0.73684,0.65517,0.0,0.16489,0.31,0.4395
Low,Riesgo,0,0.375,0.78947,0.121,0.104,0.57143,0.42105,0.89655,0.55556,0.14848,0.865,0.2422,0.28381,0.67604,0.375,0.78947,0.121,0.104,0.57143,0.42105,0.89655,0.55556,0.14848,0.865,0.2422
Medium,Riesgo,0,0.75,0.94737,0.559,0.142,0.28571,0.21053,0.93103,0.11111,0.64643,0.775,0.4152,0.09862,0.70522,0.75,0.94737,0.559,0.142,0.28571,0.21053,0.93103,0.11111,0.64643,0.775,0.4152
High,Riesgo,1,0.58333,0.47368,0.177,0.002,0.71429,0.47368,0.72414,0.77778,0.27728,0.43,0.7493,0.16475,0.62444,0.58333,0.47368,0.177,0.002,0.71429,0.47368,0.72414,0.77778,0.27728,0.43,0.7493
Medium,Riesgo,0,0.16667,0.10526,0.61,0.154,0.85714,0.26316,0.48276,1.0,0.60295,0.63,0.6134,0.11343,0.61028,0.16667,0.10526,0.61,0.154,0.85714,0.26316,0.48276,1.0,0.60295,0.63,0.6134
Medium,Riesgo,0,0.58333,0.10526,0.264,0.578,0.57143,0.52632,0.7931,0.77778,0.14684,0.05,0.4076,0.53636,0.68513,0.58333,0.10526,0.264,0.578,0.57143,0.52632,0.7931,0.77778,0.14684,0.05,0.4076
Low,Riesgo,0,0.79167,0.84211,0.231,0.82,0.14286,0.15789,1.0,0.66667,0.26169,0.635,0.0364,0.54502,0.78389,0.79167,0.84211,0.231,0.82,0.14286,0.15789,1.0,0.66667,0.26169,0.635,0.0364
High,Riesgo,1,0.91667,0.47368,0.399,0.194,0.71429,1.0,0.75862,0.77778,0.30845,0.095,0.8336,0.23485,0.69254,0.91667,0.47368,0.399,0.194,0.71429,1.0,0.75862,0.77778,0.30845,0.095,0.8336
Medium,Riesgo,0,1.0,0.84211,0.593,0.08,0.14286,0.57895,0.13793,0.0,0.56522,0.715,0.5748,0.09904,0.20491,1.0,0.84211,0.593,0.08,0.14286,0.57895,0.13793,0.0,0.56522,0.715,0.5748
High,Riesgo,1,0.04167,0.84211,0.545,0.73,1.0,1.0,0.41379,0.77778,0.70221,0.575,0.9338,0.26066,0.51195,0.04167,0.84211,0.545,0.73,1.0,1.0,0.41379,0.77778,0.70221,0.575,0.9338
Medium,Riesgo,0,0.5,0.15789,0.245,0.008,1.0,0.26316,0.2069,0.0,0.4192,0.3,0.413,0.11511,0.17361,0.5,0.15789,0.245,0.008,1.0,0.26316,0.2069,0.0,0.4192,0.3,0.413
Medium,Riesgo,0,0.95833,0.26316,0.891,0.734,0.57143,0.0,0.55172,0.22222,0.7621,0.37,0.4617,0.24122,0.56397,0.95833,0.26316,0.891,0.734,0.57143,0.0,0.55172,0.22222,0.7621,0.37,0.4617
Medium,Riesgo,0,0.625,0.57895,0.11,0.132,0.42857,0.89474,0.24138,0.33333,0.21411,0.09,0.6772,0.25696,0.22965,0.625,0.57895,0.11,0.132,0.42857,0.89474,0.24138,0.33333,0.21411,0.09,0.6772
Low,Riesgo,0,0.58333,1.0,0.039,0.228,0.85714,0.05263,0.13793,0.22222,0.12633,0.325,0.1325,0.36693,0.13005,0.58333,1.0,0.039,0.228,0.85714,0.05263,0.13793,0.22222,0.12633,0.325,0.1325
Medium,Riesgo,0,1.0,0.84211,0.603,0.12,0.71429,0.21053,0.75862,0.11111,0.46678,0.965,0.4869,0.14175,0.6088,1.0,0.84211,0.603,0.12,0.71429,0.21053,0.75862,0.11111,0.46678,0.965,0.4869
Medium,Riesgo,0,0.375,0.84211,0.123,0.248,0.0,0.78947,0.2069,0.22222,0.35521,0.485,0.5619,0.23512,0.1901,0.375,0.84211,0.123,0.248,0.0,0.78947,0.2069,0.22222,0.35521,0.485,0.5619
High,Riesgo,1,0.54167,0.47368,0.505,0.798,0.28571,0.57895,0.24138,0.88889,0.48318,0.475,0.7088,0.38047,0.4189,0.54167,0.47368,0.505,0.798,0.28571,0.57895,0.24138,0.88889,0.48318,0.475,0.7088
Medium,Riesgo,0,0.375,0.31579,0.952,0.132,0.71429,0.57895,0.2069,0.11111,0.87613,0.63,0.6645,0.04919,0.34426,0.375,0.31579,0.952,0.132,0.71429,0.57895,0.2069,0.11111,0.87613,0.63,0.6645
Medium,Riesgo,0,1.0,0.78947,0.699,0.994,0.28571,0.52632,0.72414,0.44444,0.71534,0.485,0.4443,0.33374,0.67139,1.0,0.78947,0.699,0.994,0.28571,0.52632,0.72414,0.44444,0.71534,0.485,0.4443
High,Riesgo,1,0.54167,0.63158,0.617,0.328,0.42857,1.0,0.48276,0.22222,0.49877,0.355,0.9508,0.20537,0.46373,0.54167,0.63158,0.617,0.328,0.42857,1.0,0.48276,0.22222,0.49877,0.355,0.9508
High,Riesgo,1,0.91667,0.10526,0.575,0.922,0.28571,0.94737,0.17241,0.88889,0.47416,0.14,0.7115,0.43049,0.39141,0.91667,0.10526,0.575,0.922,0.28571,0.94737,0.17241,0.88889,0.47416,0.14,0.7115
Medium,Riesgo,0,0.33333,0.05263,0.18,0.19,0.42857,0.31579,0.68966,0.66667,0.14028,0.63,0.5488,0.33544,0.58279,0.33333,0.05263,0.18,0.19,0.42857,0.31579,0.68966,0.66667,0.14028,0.63,0.5488
Medium,Riesgo,0,1.0,0.78947,0.433,0.188,0.85714,0.05263,0.68966,1.0,0.41099,0.75,0.5107,0.18731,0.69973,1.0,0.78947,0.433,0.188,0.85714,0.05263,0.68966,1.0,0.41099,0.75,0.5107
Low,Riesgo,0,0.54167,0.26316,0.343,0.566,0.57143,0.26316,0.10345,0.22222,0.27646,0.925,0.2259,0.41808,0.17319,0.54167,0.26316,0.343,0.566,0.57143,0.26316,0.10345,0.22222,0.27646,0.925,0.2259
Medium,Riesgo,0,0.08333,0.26316,0.953,0.05,0.42857,0.15789,0.75862,0.11111,1.0,0.005,0.53795,0.01012,0.68281,0.08333,0.26316,0.953,0.05,0.42857,0.15789,0.75862,0.11111,1.0,0.005,0.53795
Low,Riesgo,0,0.79167,0.63158,0.242,0.802,1.0,0.05263,0.48276,0.11111,0.36259,0.065,0.1094,0.45705,0.36329,0.79167,0.63158,0.242,0.802,1.0,0.05263,0.48276,0.11111,0.36259,0.065,0.1094
Medium,Riesgo,0,0.625,0.31579,0.472,0.44,0.14286,0.84211,0.93103,0.44444,0.61116,0.9,0.5385,0.20299,0.75026,0.625,0.31579,0.472,0.44,0.14286,0.84211,0.93103,0.44444,0.61116,0.9,0.5385
High,Riesgo,1,0.04167,0.21053,0.938,0.7,1.0,0.36842,0.89655,0.88889,0.97703,0.63,0.8445,0.17207,0.91224,0.04167,0.21053,0.938,0.7,1.0,0.36842,0.89655,0.88889,0.97703,0.63,0.8445
Medium,Riesgo,0,0.375,0.31579,0.789,0.174,0.71429,0.21053,1.0,0.11111,0.80722,0.96,0.4734,0.073,0.79615,0.375,0.31579,0.789,0.174,0.71429,0.21053,1.0,0.11111,0.80722,0.96,0.4734
High,Riesgo,1,0.08333,0.05263,0.965,0.642,1.0,0.47368,0.06897,0.11111,0.80066,0.43,0.7711,0.20349,0.26242,0.08333,0.05263,0.965,0.642,1.0,0.47368,0.06897,0.11111,0.80066,0.43,0.7711
High,Riesgo,1,0.41667,0.84211,0.608,0.594,1.0,0.78947,0.13793,0.77778,0.63002,0.415,0.7937,0.2453,0.3561,0.41667,0.84211,0.608,0.594,1.0,0.78947,0.13793,0.77778,0.63002,0.415,0.7937
Low,Riesgo,0,0.41667,0.63158,0.334,0.756,1.0,0.05263,0.62069,0.22222,0.26497,0.345,0.0349,0.51298,0.48848,0.41667,0.63158,0.334,0.756,1.0,0.05263,0.62069,0.22222,0.26497,0.345,0.0349
High,Riesgo,1,0.83333,0.78947,0.827,0.298,0.42857,0.94737,0.48276,0.22222,0.65135,0.145,0.8386,0.1458,0.50814,0.83333,0.78947,0.827,0.298,0.42857,0.94737,0.48276,0.22222,0.65135,0.145,0.8386
Low,Riesgo,0,0.83333,1.0,0.291,0.934,0.71429,0.31579,0.13793,0.55556,0.37572,0.38,0.2834,0.50088,0.24678,0.83333,1.0,0.291,0.934,0.71429,0.31579,0.13793,0.55556,0.37572,0.38,0.2834
Low,Riesgo,0,0.875,0.05263,0.165,0.962,0.57143,0.05263,0.89655,0.55556,0.26989,0.015,0.3273,0.60193,0.68535,0.875,0.05263,0.165,0.962,0.57143,0.05263,0.89655,0.55556,0.26989,0.015,0.3273
High,Riesgo,1,0.5,0.21053,0.706,0.868,0.85714,0.63158,0.41379,0.55556,0.5603,0.51,0.768,0.36445,0.5037,0.5,0.21053,0.706,0.868,0.85714,0.63158,0.41379,0.55556,0.5603,0.51,0.768
Medium,Riesgo,0,0.25,0.89474,0.639,0.572,0.57143,0.15789,0.31034,0.44444,0.56932,0.845,0.5799,0.26157,0.40495,0.25,0.89474,0.639,0.572,0.57143,0.15789,0.31034,0.44444,0.56932,0.845,0.5799
High,Riesgo,1,0.91667,0.31579,0.879,0.42,0.42857,0.78947,0.17241,0.33333,0.67268,0.32,0.8838,0.17709,0.34997,0.91667,0.31579,0.879,0.42,0.42857,0.78947,0.17241,0.33333,0.67268,0.32,0.8838
High,Riesgo,1,0.66667,0.52632,0.962,0.058,0.57143,0.47368,0.0,0.88889,0.95324,0.095,1.0,0.01842,0.36752,0.66667,0.52632,0.962,0.058,0.57143,0.47368,0.0,0.88889,0.95324,0.095,1.0
Medium,Riesgo,0,0.04167,0.52632,0.857,0.948,0.14286,0.84211,1.0,0.33333,0.95652,0.975,0.655,0.23846,0.85282,0.04167,0.52632,0.857,0.948,0.14286,0.84211,1.0,0.33333,0.95652,0.975,0.655
Low,Riesgo,0,0.45833,0.84211,0.06,0.952,0.85714,0.68421,0.34483,0.0,0.22149,0.13,0.3389,0.64629,0.21907,0.45833,0.84211,0.06,0.952,0.85714,0.68421,0.34483,0.0,0.22149,0.13,0.3389
High,Riesgo,1,1.0,0.78947,0.665,0.018,0.0,0.57895,0.65517,0.77778,0.75226,0.53,0.8039,0.03953,0.68535,1.0,0.78947,0.665,0.018,0.0,0.57895,0.65517,0.77778,0.75226,0.53,0.8039
High,Riesgo,1,0.375,0.63158,0.785,0.356,0.57143,0.63158,0.27586,0.77778,0.73011,0.81,0.7576,0.14195,0.47811,0.375,0.63158,0.785,0.356,0.57143,0.63158,0.27586,0.77778,0.73011,0.81,0.7576
Medium,Riesgo,0,0.70833,0.21053,0.982,0.88,0.0,1.0,0.51724,0.22222,0.7662,0.25,0.53795,0.28123,0.56206,0.70833,0.21053,0.982,0.88,0.0,1.0,0.51724,0.22222,0.7662,0.25,0.53795
Medium,Riesgo,0,0.875,1.0,0.375,0.08,0.57143,0.36842,0.48276,0.88889,0.4758,0.84,0.3988,0.12433,0.53944,0.875,1.0,0.375,0.08,0.57143,0.36842,0.48276,0.88889,0.4758,0.84,0.3988
Medium,Riesgo,0,0.41667,0.78947,0.17,0.196,1.0,0.84211,0.13793,0.66667,0.1534,0.555,0.5854,0.32888,0.24233,0.41667,0.78947,0.17,0.196,1.0,0.84211,0.13793,0.66667,0.1534,0.555,0.5854
High,Riesgo,1,0.625,0.78947,0.853,0.978,0.85714,0.89474,0.48276,0.66667,0.75636,0.33,0.8043,0.31274,0.59822,0.625,0.78947,0.853,0.978,0.85714,0.89474,0.48276,0.66667,0.75636,0.33,0.8043
Low,Riesgo,0,0.66667,0.78947,0.317,0.848,0.42857,0.47368,0.0,0.44444,0.50533,0.865,0.2929,0.38617,0.14654,0.66667,0.78947,0.317,0.848,0.42857,0.47368,0.0,0.44444,0.50533,0.865,0.2929
Medium,Riesgo,0,0.75,0.68421,0.598,0.912,0.0,0.63158,0.48276,0.22222,0.71698,0.62,0.3823,0.30894,0.45972,0.75,0.68421,0.598,0.912,0.0,0.63158,0.48276,0.22222,0.71698,0.62,0.3823
High,Riesgo,1,0.70833,0.26316,0.39,0.142,0.85714,0.05263,0.10345,1.0,0.40853,0.615,0.7289,0.17045,0.33115,0.70833,0.26316,0.39,0.142,0.85714,0.05263,0.10345,1.0,0.40853,0.615,0.7289
High,Riesgo,1,0.08333,0.05263,0.402,0.212,0.57143,0.84211,0.93103,0.44444,0.57506,0.505,0.7243,0.14017,0.73546,0.08333,0.05263,0.402,0.212,0.57143,0.84211,0.93103,0.44444,0.57506,0.505,0.7243
Medium,Riesgo,0,0.83333,0.68421,0.732,0.606,0.71429,0.26316,0.51724,0.22222,0.70057,0.275,0.4427,0.22431,0.5092,0.83333,0.68421,0.732,0.606,0.71429,0.26316,0.51724,0.22222,0.70057,0.275,0.4427
Medium,Riesgo,0,0.625,0.78947,0.361,0.502,0.57143,0.57895,0.72414,0.22222,0.26579,0.305,0.5867,0.39689,0.55762,0.625,0.78947,0.361,0.502,0.57143,0.57895,0.72414,0.22222,0.26579,0.305,0.5867
Medium,Riesgo,0,0.20833,1.0,0.693,0.298,0.0,0.63158,0.2069,0.0,0.66776,0.09,0.5349,0.14126,0.26834,0.20833,1.0,0.693,0.298,0.0,0.63158,0.2069,0.0,0.66776,0.09,0.5349
Low,Riesgo,0,0.5,0.63158,0.014,0.884,0.71429,0.15789,0.75862,0.33333,0.22313,0.245,0.1524,0.61196,0.52654,0.5,0.63158,0.014,0.884,0.71429,0.15789,0.75862,0.33333,0.22313,0.245,0.1524
High,Riesgo,1,0.45833,0.73684,0.325,0.902,1.0,0.73684,0.24138,0.88889,0.37244,0.28,0.7009,0.49044,0.38084,0.45833,0.73684,0.325,0.902,1.0,0.73684,0.24138,0.88889,0.37244,0.28,0.7009
High,Riesgo,1,0.41667,0.57895,0.319,0.292,0.85714,0.78947,0.68966,0.55556,0.43642,0.06,0.7091,0.21676,0.59103,0.41667,0.57895,0.319,0.292,0.85714,0.78947,0.68966,0.55556,0.43642,0.06,0.7091
High,Riesgo,1,0.58333,0.42105,0.749,0.156,0.57143,0.94737,0.72414,0.55556,0.72354,0.11,1.0,0.08514,0.70311,0.58333,0.42105,0.749,0.156,0.57143,0.94737,0.72414,0.55556,0.72354,0.11,1.0
Medium,Riesgo,0,0.58333,0.89474,0.315,0.15,0.0,0.73684,0.89655,0.55556,0.36669,0.27,0.5121,0.19012,0.71706,0.58333,0.89474,0.315,0.15,0.0,0.73684,0.89655,0.55556,0.36669,0.27,0.5121
